Material,Crystal Structure,Bending Strength (MPa),Bending Strain (%),zT,Heat Treatment Process,,,,,,,,
Ag2Se0.67S0.33,orthorhombic crystal structure,212,15,0.56,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.68S0.32,orthorhombic crystal structure,243,15,0.54,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.69S0.31,orthorhombic crystal structure,220,15,0.61,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.7S0.3,orthorhombic crystal structure,182,15,0.6,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.65S0.35,orthorhombic and monoclinic mixed crystal structure,255,15,0.69,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 1023 K in 12.5 h, dwelled for 15 h. Then, the tubes were slowly cooled to 723 K in 15 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h. Ag2Se0.65S0.35 is of a mixed orthorhombic and monoclinic crystal structure and has a bending strain of > 15%. The bending strength is ~255 Mpa. The zT at room temperature is 0.69.",,,,,,,,
Ag2Se0.6Te0.05S0.35,orthorhombic and monoclinic mixed crystal structure,267,8.1,0.6,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 1023 K in 12.5 h, dwelled for 15 h. Then, the tubes were slowly cooled to 723 K in 15 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.55Te0.1S0.35,orthorhombic and monoclinic mixed crystal structure,290,3.1,0.56,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 1023 K in 12.5 h, dwelled for 15 h. Then, the tubes were slowly cooled to 723 K in 15 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.5Te0.15S0.35,orthorhombic crystal structure,240,3.8,0.43,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 1023 K in 12.5 h, dwelled for 15 h. Then, the tubes were slowly cooled to 723 K in 15 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.45Te0.2S0.35,cubic crystal structure,164,9.8,0.31,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 1023 K in 12.5 h, dwelled for 15 h. Then, the tubes were slowly cooled to 723 K in 15 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.4Te0.25S0.35,cubic crystal structure,113,15,0.21,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 1023 K in 12.5 h, dwelled for 15 h. Then, the tubes were slowly cooled to 723 K in 15 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.35Te0.3S0.35,cubic crystal structure,74,15,0.29,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 1023 K in 12.5 h, dwelled for 15 h. Then, the tubes were slowly cooled to 723 K in 15 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag1.995Se0.65S0.35,orthorhombic and monoclinic mixed crystal structure,280,15,0.41,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag1.997Se0.65S0.35,orthorhombic and monoclinic mixed crystal structure,215,15,0.41,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.65S0.35,orthorhombic and monoclinic mixed crystal structure,255,15,0.45,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2.003Se0.65S0.35,orthorhombic and monoclinic mixed crystal structure,238,15,0.52,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2.005Se0.65S0.35,orthorhombic and monoclinic mixed crystal structure,246,15,0.66,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2S0.94Te0.06,monoclinic crystal structure,120,20,0.0004,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.88Te0.12,monoclinic crystal structure,100,20,0.23,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.86Te0.14,monoclinic crystal structure,125,20,0.14,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.84Te0.16,cubic crystal structure,380,6.5,0.008,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.82Te0.18,cubic crystal structure,55,20,0.11,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.76Te0.24,cubic crystal structure,50,20,0.13,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.7Te0.3,cubic crystal structure,80,20,0.35,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.9Te0.1,monoclinic crystal structure,150,20,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.88I0.02Te0.1,monoclinic crystal structure,120,20,0.02,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.85I0.05Te0.1,cubic crystal structure,76,20,0.1,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.82I0.08Te0.1,cubic crystal structure,160,20,0.08,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2S0.8I0.1Te0.1,cubic crystal structure,150,20,0.07,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum.The quartz tubes were placed in a vertical furnace, heated to 1273 K in 20 h and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 30 h, dwelled for 48 h. Afterward, the tubes were cooled to 393 K and held for 10h. Finally, the tubes were cooled to room temperature.",,,,,,,,
Ag2Te,monoclinic crystal structure,85,0.66,0.36,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 22.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 26 h.",,,,,,,,
Ag2Te0.9S0.1,monoclinic crystal structure,71,0.44,0.14,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 22.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 26 h.",,,,,,,,
Ag2Te0.8S0.2,"monoclinic, cubic and amorphous crystal structure",51,0.52,0.11,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 22.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 26 h.",,,,,,,,
Ag2Te0.7S0.3,cubic and amorphous mixed crystal structure,66,0.57,0.19,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 22.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 26 h.",,,,,,,,
Ag2Te0.6S0.4,cubic and amorphous mixed crystal structure,124,12,0.23,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 22.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 26 h.",,,,,,,,
Ag2Te0.5S0.5,cubic and amorphous mixed crystal structure,131,12,0.13,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 823 K in 22.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 26 h.",,,,,,,,
Ag2Se,orthorhombic crystal structure,80,0.53,0.61,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se ingot was immersed in liquid nitrogen and crushed into powder. Then, a spark plasma sintering process was conducted at 623 K for 5 min under a pressure of 60 MPa to obtain dense bulk samples.",,,,,,,,
Ag2Se0.9S0.1,orthorhombic crystal structure,107,1.47,0.58,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.9S0.1 ingot was immersed in liquid nitrogen and crushed into powder. Then, a spark plasma sintering process was conducted at 623 K for 5 min under a pressure of 60 MPa to obtain dense bulk samples.",,,,,,,,
Ag2Se0.6S0.4,monoclinic crystal structure,126,9.97,0.27,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.6Se0.4 ingot was immersed in liquid nitrogen and crushed into powder. Then, a spark plasma sintering process was conducted at 623 K for 5 min under a pressure of 60 MPa to obtain dense bulk samples.",,,,,,,,
Ag2Se0.7S0.3,orthorhombic crystal structure,179,16,0.6,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.7Se0.3 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.69S0.31,orthorhombic crystal structure,212,15.8,0.61,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.69Se0.31 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.69S0.31,orthorhombic crystal structure,193,14.3,0.54,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.69Se0.31 ingot was cut and placed in liquid nitrogen, cooled to 78 K and held at this temperature for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.68S0.32,orthorhombic crystal structure,233,17.3,0.54,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.68Se0.32 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.67S0.33,orthorhombic crystal structure,208,17.1,0.56,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.67Se0.33 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.67S0.33,orthorhombic crystal structure,181,11.4,0.52,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.67Se0.33 ingot was cut and placed in liquid nitrogen, cooled to 78 K and held at this temperature for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.66S0.34,orthorhombic crystal structure,208,14.7,0.54,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.66Se0.34 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.65S0.35,orthorhombic crystal structure,208,16.2,0.46,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.65Se0.35 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.65S0.35,orthorhombic crystal structure,207,15,0.46,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.65Se0.35 ingot was cut and placed in liquid nitrogen, cooled to 78 K and held at this temperature for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.64S0.36,orthorhombic crystal structure,108,16.2,0.37,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.64Se0.36 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.63S0.37,monoclinic crystal structure,241,19.4,0.17,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.63Se0.37 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.63S0.37,orthorhombic crystal structure,133,9.98,0.54,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.63Se0.37 ingot was cut and placed in liquid nitrogen, cooled to 78 K and held at this temperature for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.62S0.38,monoclinic crystal structure,170,17.3,0.22,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.68Se0.38 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.61S0.39,monoclinic crystal structure,156,20,0.15,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.61Se0.39 ingot was cut and sealed in sealed in quartz tubes under vacuum. The quartz tubes were placed in a muffle furnace, heated to 473 K and held at this temperature for for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2Se0.61S0.39,orthorhombic crystal structure,221,10.27,0.58,"The elements were weighed according to the chemical stoichiometry and sealed in quartz tubes under vacuum. The quartz tubes were placed in a melting furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 21 h. The obtained Ag2Se0.61Se0.39 ingot was cut and placed in liquid nitrogen, cooled to 78 K and held at this temperature for 48 h. Then the sample was placed in air for 10 min to return to room temperature.",,,,,,,,
Ag2S0.7Te0.3,cubic crystal structure,73,15,0.31,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tubes were air-cooled to room temperature.",,,,,,,,
Ag1.99K0.01S0.7Te0.3,cubic crystal structure,53,2.6,0.22,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tube under vacuum. The quartz tube was placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tube was air-cooled to room temperature. The  Ag1.99K0.01S0.7Te0.3 is of cubic crystal structure and has a bending strain of ~2.6%. The bending strength is ~53 Mpa. The zT at room temperature is 0.22.",,,,,,,,
Ag1.97K0.03S0.7Te0.3,cubic crystal structure,53,2.1,0.17,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tube under vacuum. The quartz tube was placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tube was air-cooled to room temperature. The  Ag1.99K0.01S0.7Te0.3 is of cubic crystal structure and has a bending strain of > 2.1%. The bending strength is ~53 Mpa. The zT at room temperature is 0.17.",,,,,,,,
Ag1.95K0.05S0.7Te0.3,cubic crystal structure,64,15,0.07,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tube under vacuum. The quartz tube was placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tube was air-cooled to room temperature. The  Ag1.99K0.01S0.7Te0.3 is of cubic crystal structure and has a bending strain of > 15%. The bending strength is ~64 Mpa. The zT at room temperature is 0.07.",,,,,,,,
Ag1.90K0.1S0.7Te0.3,cubic crystal structure,82,9,0.25,"The elements were weighed according to the chemical stoichiometry and then placed in a stainless-steel ball milling tank. The ball-to-material ratio is 10:1. The tank was sealed in a glove box and then placed into a high-energy ball miller. The milling time was set as 5 h. The revolving velocity is 1400 r/min.  The as-prepared sample after ballmilling was placed into a stainless-steel mold with a diameter of 10mm and then cold-pressed under the pressure of 50MPa. The pressure holding time was set as 5min. Then the sample was placed in a boron nitride crucible and sealed in quartz tube under vacuum. The quartz tube was placed in a vertical furnace, heated to 1223 K in 10 h and held at this temperature for 1.5 h. Then, the tube was air-cooled to room temperature. The  Ag1.99K0.01S0.7Te0.3 is of cubic crystal structure and has a bending strain of ~9%. The bending strength is ~82 Mpa. The zT at room temperature is 0.25.",,,,,,,,
